-8 -8   -7.44337 -8.30505
-4.65293 -3.18796   -4.73986 -3.42793
-4.65293 -3.18796   -4.83222 -3.29811
-4.65293 -3.18796   -3.33906 -3.74377
-5.50319 -4.34711   -4.66924 -4.31894
-5.50319 -4.34711   -5.13034 -3.92065
-4.66924 -4.31894   -4.52825 -4.23137
-4.52825 -4.23137   -4.63012 -4.0444
-4.63012 -4.0444   -4.87602 -3.52012
-4.87602 -3.52012   -5.19454 -3.3236
-4.87602 -3.52012   -4.83923 -3.64627
-4.87602 -3.52012   -4.65293 -3.18796
-5.19454 -3.3236   -5.44227 -4.00099
-5.19454 -3.3236   -4.76514 -3.87052
-5.19454 -3.3236   -5.02061 -3.26557
-5.19454 -3.3236   -3.80103 -3.58776
-6.87487 -7.58458   -7.88633 -8.35173
-6.87487 -7.58458   -7.1864 -8.08474
-6.87487 -7.58458   -7.54609 -7.7094
-6.87487 -7.58458   -6.71256 -7.68439
-6.87487 -7.58458   -6.91775 -7.30293
-7.88633 -8.35173   -7.90717 -6.8462
-7.88633 -8.35173   -8.54677 -6.74066
-7.44337 -8.30505   -8.14477 -7.58224
-7.44337 -8.30505   -7.50553 -8.2166
-7.44337 -8.30505   -6.87487 -7.58458
-6.71256 -7.68439   -6.62595 -8.66826
-6.71256 -7.68439   -6.28454 -8.0988
-6.71256 -7.68439   -6.23078 -7.99896
-6.62595 -8.66826   -6.39549 -8.47348
-8.54677 -6.74066   -9.71052 -6.86756
-2.04903 -0.824463   -0.850602 -1.12319
-2.04903 -0.824463   -2.19759 -0.437861
-0.850602 -1.12319   -0.339607 -0.372785
-0.850602 -1.12319   -0.631194 -1.98851
1.08696 -0.0239091   0.952128 0.394247
1.08696 -0.0239091   1.23322 -0.442694
-0.339607 -0.372785   -0.115336 -0.783565
-0.339607 -0.372785   1.08696 -0.0239091
-0.339607 -0.372785   -0.0878583 -0.272617
1.23322 -0.442694   1.05205 -0.628678
1.23322 -0.442694   2.15292 0.849629
1.05205 -0.628678   0.889168 -0.744098
1.05205 -0.628678   1.10254 -0.706802
-0.0878583 -0.272617   -0.091847 -0.287422
-0.0878583 -0.272617   0.10174 -0.269724
-0.0878583 -0.272617   0.169242 -0.968915
-0.0878583 -0.272617   0.260012 0.394486
-0.0878583 -0.272617   0.90498 0.343606
-0.0878583 -0.272617   -1.08676 0.654571
-0.0878583 -0.272617   -0.614873 -0.478342
-0.0878583 -0.272617   0.208681 1.41332
-0.0878583 -0.272617   0.245805 -0.584616
-0.0878583 -0.272617   -0.223952 0.0686968
-0.0878583 -0.272617   -0.360091 -1.11637
2.15292 0.849629   2.05111 1.45276
2.05111 1.45276   0.528471 0.177569
2.05111 1.45276   3.54269 1.6826
2.05111 1.45276   1.87021 1.77908
0.889168 -0.744098   0.494713 -0.539694
1.10254 -0.706802   1.49507 -0.653355
1.49507 -0.653355   1.90488 -0.0998118
1.49507 -0.653355   1.77695 -0.115099
-1.08676 0.654571   -0.413142 0.90866
1.33153 2.61252   -0.101681 2.17434
1.33153 2.61252   1.55004 2.39218
1.33153 2.61252   3.31955 1.40801
4.32378 1.15718   5.45544 1.38902
5.45544 1.38902   5.9788 1.93931
5.45544 1.38902   5.33829 1.46674
5.45544 1.38902   4.65441 0.635396
3.77016 2.27959   4.30596 1.33412
3.77016 2.27959   4.07299 2.16795
3.77016 2.27959   2.72853 1.32631
3.77016 2.27959   3.49894 2.66064
4.30596 1.33412   4.32378 1.15718
5.9788 1.93931   5.78299 1.83697
4.65441 0.635396   4.65345 0.515323
4.65345 0.515323   4.04898 0.778149
-2.00877 -1.6944   -1.63577 -2.03867
-2.00877 -1.6944   -2.04903 -0.824463
-2.00877 -1.6944   -2.44885 -1.72179
-1.63577 -2.03867   -1.52187 -1.81698
-0.631194 -1.98851   -1.11376 -1.87647
-0.631194 -1.98851   -0.875946 -1.97895
-0.631194 -1.98851   -0.563835 -1.45461
-2.19759 -0.437861   -1.54241 -1.40305
-2.19759 -0.437861   -1.44081 -1.15572
-2.19759 -0.437861   -2.16259 -0.634661
-2.19759 -0.437861   -1.97162 -0.86153
